VOH,,Plain,,,Cipher,,
Image,Type,Red,Green,Blue,Red,Green,Blue
Baboon.png,color,331358.9140625,571232.15625,319770.46875,3098.5234375,3046.0859375,3212.765625
kodim07.png,color,3095654.6015625,3311060.796875,4368048.46875,4109.4140625,5027.7421875,5230.203125
kodim17.png,color,2232974.1640625,1947101.7578125,2663903.984375,4983.2890625,4579.2890625,4515.40625
Lena.png,color,1017334.6953125,455718.8046875,1377355.8671875,2866.125,3028.359375,2785.953125
