GIE,,Plain,,,Cipher,,
Image,Type,Red,Green,Blue,Red,Green,Blue
Baboon.png,color,7.706671842616531,7.474431586366261,7.752217171944648,7.999763060853501,7.999766680685948,7.999754241335647
kodim07.png,color,7.176237571277389,7.101869587284955,6.920619062229879,7.999860150183732,7.999829363603404,7.999822508464156
kodim17.png,color,7.287147442019519,7.382605102485323,7.258882820366874,7.999830774038288,7.999844488118981,7.999846615666821
Lena.png,color,7.253102357429208,7.594037916342684,6.968426946008591,7.999780971445893,7.999768798357972,7.999786969980998
