ISE,,Cipher NPCR,,,Cipher UACI,,
Image,Type,Red,Green,Blue,Red,Green,Blue
All-black.png,gray,0.9961280822753906,,,0.33460169773475784,,
All-white.png,gray,0.9959182739257812,,,0.3345781214096967,,
Baboon.bmp,color,0.9959030151367188,0.9962844848632812,0.9959907531738281,0.3350731494379979,0.3350345985562193,0.3354792725806143
Boat.bmp,color,0.9961662292480469,0.9962005615234375,0.9960670471191406,0.333822317684398,0.33442091100356164,0.3346180784936045
Clock-5.1.12.png,gray,0.9959716796875,,,0.334417724609375,,
F16.png,color,0.9962234497070312,0.9958343505859375,0.9961357116699219,0.33441082823510265,0.335437774658203,0.33500366210937504
House.png,gray,0.9959564208984375,,,0.3346380794749541,,
kodim07.png,color,0.9960098266601562,0.9960428873697916,0.9961039225260416,0.3340228909760519,0.33456904592077713,0.3344607085184334
kodim17.png,color,0.9961700439453125,0.9960403442382812,0.995941162109375,0.33457252652037384,0.33478173149956597,0.3347220227609273
Man-5.3.01.png,gray,0.9960289001464844,,,0.3342600429759306,,
Peppers.bmp,color,0.996063232421875,0.9961280822753906,0.9959793090820312,0.33419056312710643,0.3340144437902113,0.33457213757084864
Ruler.png,gray,0.9960250854492188,,,0.334542293174594,,
