SKS,,,Cipher NPCR,,,Cipher UACI,,
Image1,Image2,Type,Red,Green,Blue,Red,Green,Blue
All-black_enc.png,All-black_enc_SKS.png,gray,0.9963226318359375,,,0.3355482213637408,,
All-white_enc.png,All-white_enc_SKS.png,gray,0.9962730407714844,,,0.3355906168619792,,
Baboon_enc.bmp,Baboon_enc_SKS.bmp,color,0.9962921142578125,0.9958724975585938,0.9959869384765625,0.3345265107996323,0.3340707217945772,0.3351509991814108
Boat_enc.bmp,Boat_enc_SKS.bmp,color,0.9961471557617188,0.9959297180175781,0.9963340759277344,0.3351364434934129,0.33357630710975794,0.3349773032992494
Clock-5.1.12_enc.png,Clock-5.1.12_enc_SKS.png,gray,0.9962005615234375,,,0.335743563782935,,
F16_enc.png,F16_enc_SKS.png,color,0.9959640502929688,0.996307373046875,0.9959678649902344,0.33464695051604626,0.3348912108178232,0.33436307720109526
House_enc.png,House_enc_SKS.png,gray,0.9961280822753906,,,0.3351532580805759,,
kodim07_enc.png,kodim07_enc_SKS.png,color,0.9962641398111979,0.9961751302083334,0.9958852132161459,0.33423822939006337,0.3340650670668659,0.3345775728911356
kodim17_enc.png,kodim17_enc_SKS.png,color,0.9961751302083334,0.9961420694986979,0.9961115519205729,0.334420596852022,0.33510078978694335,0.33448869293811273
Man-5.3.01_enc.png,Man-5.3.01_enc_SKS.png,gray,0.99627685546875,,,0.33486090641395716,,
Peppers_enc.bmp,Peppers_enc_SKS.bmp,color,0.9963111877441406,0.9959678649902344,0.9961013793945312,0.3344832027659696,0.33512181300742955,0.3346756430233226
Ruler_enc.png,Ruler_enc_SKS.png,gray,0.9961280822753906,,,0.33491691140567553,,
